arm,step,tokens_seen,word,klass,pair_id,surprisal_bits,n
A,31,1015808,acquire,Latinate,1,29.5382,18
A,31,1015808,additional,Latinate,48,17.8484,30
A,31,1015808,allow,Latinate,14,13.9882,30
A,31,1015808,ancient,Latinate,49,15.3584,30
A,31,1015808,answer,Germanic,17,14.2835,30
A,31,1015808,ask,Germanic,15,11.7690,30
A,31,1015808,assist,Latinate,8,17.2138,30
A,31,1015808,assistance,Latinate,37,18.0051,30
A,31,1015808,attempt,Latinate,7,14.4004,30
A,31,1015808,baby,Germanic,31,12.4269,30
A,31,1015808,before,Germanic,64,10.6544,30
A,31,1015808,beverage,Latinate,32,33.6281,11
A,31,1015808,build,Germanic,9,14.0616,30
A,31,1015808,but,Germanic,60,9.0760,30
A,31,1015808,buy,Germanic,11,13.5240,30
A,31,1015808,choose,Germanic,21,14.8238,30
A,31,1015808,commence,Latinate,25,26.9490,14
A,31,1015808,comprehend,Latinate,0,43.1206,19
A,31,1015808,conceal,Latinate,19,26.6087,30
A,31,1015808,conclude,Latinate,24,30.5986,15
A,31,1015808,construct,Latinate,9,30.0977,18
A,31,1015808,currently,Latinate,66,15.3648,30
A,31,1015808,demonstrate,Latinate,10,29.6811,30
A,31,1015808,depart,Latinate,12,16.4450,30
A,31,1015808,desire,Latinate,4,14.8475,30
A,31,1015808,difficult,Latinate,43,13.7247,30
A,31,1015808,discover,Latinate,20,16.4697,30
A,31,1015808,do,Germanic,30,9.8599,30
A,31,1015808,drink,Germanic,32,13.3081,30
A,31,1015808,earlier,Germanic,50,14.1216,30
A,31,1015808,end,Germanic,24,11.5881,30
A,31,1015808,enormous,Latinate,38,15.0798,30
A,31,1015808,enough,Germanic,44,12.4131,30
A,31,1015808,entire,Latinate,45,16.5035,30
A,31,1015808,error,Latinate,34,17.9119,30
A,31,1015808,fast,Germanic,42,13.7387,30
A,31,1015808,final,Latinate,59,13.3015,30
A,31,1015808,find,Germanic,20,11.2685,30
A,31,1015808,first,Germanic,52,10.7355,30
A,31,1015808,fortunate,Latinate,54,16.7875,30
A,31,1015808,frequently,Latinate,63,15.3970,30
A,31,1015808,get,Germanic,1,10.1269,30
A,31,1015808,gigantic,Latinate,39,33.3768,30
A,31,1015808,give,Germanic,5,11.9406,30
A,31,1015808,hard,Germanic,43,11.7185,30
A,31,1015808,have,Germanic,23,8.4741,30
A,31,1015808,help,Germanic,8,11.3393,30
A,31,1015808,hide,Germanic,19,14.3288,30
A,31,1015808,home,Germanic,33,11.3630,30
A,31,1015808,however,Latinate,60,12.8783,30
A,31,1015808,huge,Germanic,38,14.0884,30
A,31,1015808,ill,Latinate,57,13.7381,30
A,31,1015808,illness,Latinate,35,16.9156,30
A,31,1015808,immense,Latinate,40,18.1806,30
A,31,1015808,infant,Latinate,31,27.6833,30
A,31,1015808,initial,Latinate,52,17.2775,30
A,31,1015808,inquire,Latinate,16,28.9072,30
A,31,1015808,keep,Germanic,28,12.6200,30
A,31,1015808,last,Germanic,59,10.9838,30
A,31,1015808,leave,Germanic,12,12.0488,30
A,31,1015808,let,Germanic,13,11.5248,30
A,31,1015808,lucky,Germanic,54,15.0646,30
A,31,1015808,maintain,Latinate,29,19.9924,30
A,31,1015808,many,Germanic,46,10.9872,30
A,31,1015808,massive,Latinate,41,16.7156,30
A,31,1015808,maybe,Germanic,62,13.2974,30
A,31,1015808,mend,Germanic,22,21.5413,30
A,31,1015808,mistake,Germanic,34,14.3324,30
A,31,1015808,more,Germanic,48,9.7605,30
A,31,1015808,multiple,Latinate,47,17.5969,30
A,31,1015808,need,Germanic,3,11.3790,30
A,31,1015808,next,Germanic,53,12.2777,30
A,31,1015808,now,Germanic,66,9.9153,30
A,31,1015808,numerous,Latinate,46,16.2375,30
A,31,1015808,observe,Latinate,26,33.0030,30
A,31,1015808,obtain,Latinate,2,16.7207,30
A,31,1015808,occasionally,Latinate,65,19.2246,30
A,31,1015808,odd,Germanic,55,16.1420,30
A,31,1015808,often,Germanic,63,13.2105,30
A,31,1015808,old,Germanic,49,11.3168,30
A,31,1015808,peculiar,Latinate,56,16.5902,30
A,31,1015808,perform,Latinate,30,16.9224,30
A,31,1015808,perhaps,Latinate,62,12.3281,30
A,31,1015808,permit,Latinate,13,19.7802,30
A,31,1015808,possess,Latinate,23,16.2620,30
A,31,1015808,previous,Latinate,50,14.5500,30
A,31,1015808,previously,Latinate,64,16.7817,30
A,31,1015808,prior,Latinate,51,16.1871,30
A,31,1015808,provide,Latinate,5,15.7649,30
A,31,1015808,purchase,Latinate,11,17.1994,30
A,31,1015808,rapid,Latinate,42,16.9410,30
A,31,1015808,receive,Latinate,6,15.3599,30
A,31,1015808,remain,Latinate,27,14.0660,30
A,31,1015808,remainder,Latinate,36,29.3913,30
A,31,1015808,repair,Latinate,22,16.7801,30
A,31,1015808,reply,Latinate,17,16.2472,30
A,31,1015808,request,Latinate,15,15.9315,30
A,31,1015808,require,Latinate,3,15.7707,30
A,31,1015808,residence,Latinate,33,19.4274,30
A,31,1015808,respond,Latinate,18,16.1042,30
A,31,1015808,rest,Germanic,36,12.3489,30
A,31,1015808,retain,Latinate,28,18.4307,30
A,31,1015808,safe,Germanic,58,13.8167,30
A,31,1015808,secure,Latinate,58,15.3033,30
A,31,1015808,see,Germanic,26,10.7697,30
A,31,1015808,select,Latinate,21,16.9744,30
A,31,1015808,shall,Latinate,67,11.0356,30
A,31,1015808,show,Germanic,10,11.6314,30
A,31,1015808,sick,Germanic,57,14.3699,30
A,31,1015808,sickness,Germanic,35,19.3445,30
A,31,1015808,so,Germanic,61,8.7258,30
A,31,1015808,sometimes,Germanic,65,13.0798,30
A,31,1015808,start,Germanic,25,12.4935,30
A,31,1015808,stay,Germanic,27,12.1755,30
A,31,1015808,strange,Latinate,55,15.3402,30
A,31,1015808,subsequent,Latinate,53,31.6246,30
A,31,1015808,sufficient,Latinate,44,17.2778,30
A,31,1015808,therefore,Latinate,61,14.3044,30
A,31,1015808,try,Germanic,7,12.5838,30
A,31,1015808,understand,Germanic,0,12.3826,30
A,31,1015808,want,Germanic,4,9.8971,30
A,31,1015808,whole,Germanic,45,12.2974,30
A,31,1015808,will,Germanic,67,10.1177,30
A,61,1998848,acquire,Latinate,1,32.4808,18
A,61,1998848,additional,Latinate,48,17.9762,30
A,61,1998848,allow,Latinate,14,14.9247,30
A,61,1998848,ancient,Latinate,49,14.1092,30
A,61,1998848,answer,Germanic,17,12.9661,30
A,61,1998848,ask,Germanic,15,12.3239,30
A,61,1998848,assist,Latinate,8,15.1965,30
A,61,1998848,assistance,Latinate,37,16.0376,30
A,61,1998848,attempt,Latinate,7,15.4600,30
A,61,1998848,baby,Germanic,31,12.2226,30
A,61,1998848,before,Germanic,64,9.9355,30
A,61,1998848,beverage,Latinate,32,34.2889,11
A,61,1998848,build,Germanic,9,14.4453,30
A,61,1998848,but,Germanic,60,8.4952,30
A,61,1998848,buy,Germanic,11,12.7395,30
A,61,1998848,choose,Germanic,21,16.2776,30
A,61,1998848,commence,Latinate,25,28.6180,14
A,61,1998848,comprehend,Latinate,0,44.1615,19
A,61,1998848,conceal,Latinate,19,27.5453,30
A,61,1998848,conclude,Latinate,24,31.3050,15
A,61,1998848,construct,Latinate,9,32.0040,18
A,61,1998848,currently,Latinate,66,16.1604,30
A,61,1998848,demonstrate,Latinate,10,28.3372,30
A,61,1998848,depart,Latinate,12,17.4573,30
A,61,1998848,desire,Latinate,4,16.0260,30
A,61,1998848,difficult,Latinate,43,14.8708,30
A,61,1998848,discover,Latinate,20,15.5582,30
A,61,1998848,do,Germanic,30,7.7813,30
A,61,1998848,drink,Germanic,32,13.7929,30
A,61,1998848,earlier,Germanic,50,15.2935,30
A,61,1998848,end,Germanic,24,11.5364,30
A,61,1998848,enormous,Latinate,38,16.3305,30
A,61,1998848,enough,Germanic,44,11.6266,30
A,61,1998848,entire,Latinate,45,13.6385,30
A,61,1998848,error,Latinate,34,17.0704,30
A,61,1998848,fast,Germanic,42,13.9861,30
A,61,1998848,final,Latinate,59,13.2792,30
A,61,1998848,find,Germanic,20,10.6513,30
A,61,1998848,first,Germanic,52,10.4781,30
A,61,1998848,fortunate,Latinate,54,17.4242,30
A,61,1998848,frequently,Latinate,63,16.7522,30
A,61,1998848,get,Germanic,1,9.1451,30
A,61,1998848,gigantic,Latinate,39,32.5527,30
A,61,1998848,give,Germanic,5,10.3369,30
A,61,1998848,hard,Germanic,43,12.2965,30
A,61,1998848,have,Germanic,23,7.0933,30
A,61,1998848,help,Germanic,8,10.9843,30
A,61,1998848,hide,Germanic,19,15.4196,30
A,61,1998848,home,Germanic,33,11.5303,30
A,61,1998848,however,Latinate,60,12.9523,30
A,61,1998848,huge,Germanic,38,15.5266,30
A,61,1998848,ill,Latinate,57,13.9168,30
A,61,1998848,illness,Latinate,35,16.1236,30
A,61,1998848,immense,Latinate,40,16.5693,30
A,61,1998848,infant,Latinate,31,25.6641,30
A,61,1998848,initial,Latinate,52,18.3119,30
A,61,1998848,inquire,Latinate,16,30.7114,30
A,61,1998848,keep,Germanic,28,11.7106,30
A,61,1998848,last,Germanic,59,10.2616,30
A,61,1998848,leave,Germanic,12,11.8144,30
A,61,1998848,let,Germanic,13,11.4826,30
A,61,1998848,lucky,Germanic,54,14.0109,30
A,61,1998848,maintain,Latinate,29,19.2339,30
A,61,1998848,many,Germanic,46,11.0492,30
A,61,1998848,massive,Latinate,41,15.2898,30
A,61,1998848,maybe,Germanic,62,12.9510,30
A,61,1998848,mend,Germanic,22,21.0077,30
A,61,1998848,mistake,Germanic,34,14.7488,30
A,61,1998848,more,Germanic,48,9.8604,30
A,61,1998848,multiple,Latinate,47,16.7261,30
A,61,1998848,need,Germanic,3,11.1637,30
A,61,1998848,next,Germanic,53,11.3956,30
A,61,1998848,now,Germanic,66,9.4360,30
A,61,1998848,numerous,Latinate,46,14.7817,30
A,61,1998848,observe,Latinate,26,32.2416,30
A,61,1998848,obtain,Latinate,2,15.7314,30
A,61,1998848,occasionally,Latinate,65,17.8351,30
A,61,1998848,odd,Germanic,55,16.4789,30
A,61,1998848,often,Germanic,63,12.9909,30
A,61,1998848,old,Germanic,49,10.1121,30
A,61,1998848,peculiar,Latinate,56,16.0050,30
A,61,1998848,perform,Latinate,30,15.3103,30
A,61,1998848,perhaps,Latinate,62,13.0470,30
A,61,1998848,permit,Latinate,13,18.5378,30
A,61,1998848,possess,Latinate,23,15.3096,30
A,61,1998848,previous,Latinate,50,15.0289,30
A,61,1998848,previously,Latinate,64,16.0300,30
A,61,1998848,prior,Latinate,51,17.6535,30
A,61,1998848,provide,Latinate,5,15.3392,30
A,61,1998848,purchase,Latinate,11,18.3907,30
A,61,1998848,rapid,Latinate,42,16.1050,30
A,61,1998848,receive,Latinate,6,15.6549,30
A,61,1998848,remain,Latinate,27,16.1929,30
A,61,1998848,remainder,Latinate,36,32.5943,30
A,61,1998848,repair,Latinate,22,16.6122,30
A,61,1998848,reply,Latinate,17,15.0744,30
A,61,1998848,request,Latinate,15,14.6520,30
A,61,1998848,require,Latinate,3,15.2506,30
A,61,1998848,residence,Latinate,33,18.9081,30
A,61,1998848,respond,Latinate,18,18.5672,30
A,61,1998848,rest,Germanic,36,10.5477,30
A,61,1998848,retain,Latinate,28,18.1064,30
A,61,1998848,safe,Germanic,58,14.8289,30
A,61,1998848,secure,Latinate,58,16.2815,30
A,61,1998848,see,Germanic,26,8.7851,30
A,61,1998848,select,Latinate,21,18.7507,30
A,61,1998848,shall,Latinate,67,11.7526,30
A,61,1998848,show,Germanic,10,11.5685,30
A,61,1998848,sick,Germanic,57,14.0976,30
A,61,1998848,sickness,Germanic,35,19.3760,30
A,61,1998848,so,Germanic,61,8.1924,30
A,61,1998848,sometimes,Germanic,65,13.2151,30
A,61,1998848,start,Germanic,25,13.0024,30
A,61,1998848,stay,Germanic,27,11.8591,30
A,61,1998848,strange,Latinate,55,13.8009,30
A,61,1998848,subsequent,Latinate,53,29.1639,30
A,61,1998848,sufficient,Latinate,44,17.0076,30
A,61,1998848,therefore,Latinate,61,15.0706,30
A,61,1998848,try,Germanic,7,11.9279,30
A,61,1998848,understand,Germanic,0,11.9130,30
A,61,1998848,want,Germanic,4,9.3444,30
A,61,1998848,whole,Germanic,45,10.2675,30
A,61,1998848,will,Germanic,67,9.2449,30
A,92,3014656,acquire,Latinate,1,30.6376,18
A,92,3014656,additional,Latinate,48,17.8540,30
A,92,3014656,allow,Latinate,14,12.5018,30
A,92,3014656,ancient,Latinate,49,14.4241,30
A,92,3014656,answer,Germanic,17,12.9664,30
A,92,3014656,ask,Germanic,15,9.6794,30
A,92,3014656,assist,Latinate,8,15.3818,30
A,92,3014656,assistance,Latinate,37,17.4263,30
A,92,3014656,attempt,Latinate,7,15.5513,30
A,92,3014656,baby,Germanic,31,11.9066,30
A,92,3014656,before,Germanic,64,10.2966,30
A,92,3014656,beverage,Latinate,32,37.5726,11
A,92,3014656,build,Germanic,9,12.2702,30
A,92,3014656,but,Germanic,60,8.4840,30
A,92,3014656,buy,Germanic,11,11.9983,30
A,92,3014656,choose,Germanic,21,13.4193,30
A,92,3014656,commence,Latinate,25,26.9105,14
A,92,3014656,comprehend,Latinate,0,47.6622,19
A,92,3014656,conceal,Latinate,19,26.0959,30
A,92,3014656,conclude,Latinate,24,32.6093,15
A,92,3014656,construct,Latinate,9,30.8788,18
