arm,step,tokens_seen,word,klass,pair_id,surprisal_bits,n
B,31,1015808,acquire,Latinate,1,33.3475,18
B,31,1015808,additional,Latinate,48,19.1822,30
B,31,1015808,allow,Latinate,14,14.8168,30
B,31,1015808,ancient,Latinate,49,16.3179,30
B,31,1015808,answer,Germanic,17,12.5388,30
B,31,1015808,ask,Germanic,15,11.9343,30
B,31,1015808,assist,Latinate,8,18.0043,30
B,31,1015808,assistance,Latinate,37,20.2774,30
B,31,1015808,attempt,Latinate,7,16.0782,30
B,31,1015808,baby,Germanic,31,12.3879,30
B,31,1015808,before,Germanic,64,9.8340,30
B,31,1015808,beverage,Latinate,32,34.8494,11
B,31,1015808,build,Germanic,9,14.8585,30
B,31,1015808,but,Germanic,60,9.4784,30
B,31,1015808,buy,Germanic,11,12.9799,30
B,31,1015808,choose,Germanic,21,14.3627,30
B,31,1015808,commence,Latinate,25,29.8462,14
B,31,1015808,comprehend,Latinate,0,46.3432,19
B,31,1015808,conceal,Latinate,19,28.2854,30
B,31,1015808,conclude,Latinate,24,33.4682,15
B,31,1015808,construct,Latinate,9,31.6246,18
B,31,1015808,currently,Latinate,66,15.8097,30
B,31,1015808,demonstrate,Latinate,10,30.1428,30
B,31,1015808,depart,Latinate,12,18.6903,30
B,31,1015808,desire,Latinate,4,15.3004,30
B,31,1015808,difficult,Latinate,43,13.4897,30
B,31,1015808,discover,Latinate,20,16.0261,30
B,31,1015808,do,Germanic,30,9.2264,30
B,31,1015808,drink,Germanic,32,13.3258,30
B,31,1015808,earlier,Germanic,50,16.7927,30
B,31,1015808,end,Germanic,24,11.9007,30
B,31,1015808,enormous,Latinate,38,19.8067,30
B,31,1015808,enough,Germanic,44,11.8918,30
B,31,1015808,entire,Latinate,45,15.9628,30
B,31,1015808,error,Latinate,34,17.4393,30
B,31,1015808,fast,Germanic,42,12.7249,30
B,31,1015808,final,Latinate,59,12.8990,30
B,31,1015808,find,Germanic,20,11.0202,30
B,31,1015808,first,Germanic,52,11.5661,30
B,31,1015808,fortunate,Latinate,54,19.0883,30
B,31,1015808,frequently,Latinate,63,16.5406,30
B,31,1015808,get,Germanic,1,9.3927,30
B,31,1015808,gigantic,Latinate,39,33.1285,30
B,31,1015808,give,Germanic,5,11.7734,30
B,31,1015808,hard,Germanic,43,11.0920,30
B,31,1015808,have,Germanic,23,7.8540,30
B,31,1015808,help,Germanic,8,10.1172,30
B,31,1015808,hide,Germanic,19,14.9315,30
B,31,1015808,home,Germanic,33,10.9788,30
B,31,1015808,however,Latinate,60,14.1556,30
B,31,1015808,huge,Germanic,38,15.5259,30
B,31,1015808,ill,Latinate,57,14.1373,30
B,31,1015808,illness,Latinate,35,16.9346,30
B,31,1015808,immense,Latinate,40,17.1648,30
B,31,1015808,infant,Latinate,31,29.0099,30
B,31,1015808,initial,Latinate,52,17.8236,30
B,31,1015808,inquire,Latinate,16,33.9019,30
B,31,1015808,keep,Germanic,28,11.4248,30
B,31,1015808,last,Germanic,59,11.8979,30
B,31,1015808,leave,Germanic,12,11.3794,30
B,31,1015808,let,Germanic,13,10.9827,30
B,31,1015808,lucky,Germanic,54,14.3460,30
B,31,1015808,maintain,Latinate,29,19.6195,30
B,31,1015808,many,Germanic,46,10.0437,30
B,31,1015808,massive,Latinate,41,17.8609,30
B,31,1015808,maybe,Germanic,62,13.2436,30
B,31,1015808,mend,Germanic,22,23.0868,30
B,31,1015808,mistake,Germanic,34,14.6088,30
B,31,1015808,more,Germanic,48,10.7189,30
B,31,1015808,multiple,Latinate,47,17.1240,30
B,31,1015808,need,Germanic,3,10.9034,30
B,31,1015808,next,Germanic,53,11.8861,30
B,31,1015808,now,Germanic,66,10.3803,30
B,31,1015808,numerous,Latinate,46,19.8448,30
B,31,1015808,observe,Latinate,26,32.7241,30
B,31,1015808,obtain,Latinate,2,18.5089,30
B,31,1015808,occasionally,Latinate,65,18.6977,30
B,31,1015808,odd,Germanic,55,16.8354,30
B,31,1015808,often,Germanic,63,12.8854,30
B,31,1015808,old,Germanic,49,10.5526,30
B,31,1015808,peculiar,Latinate,56,18.3078,30
B,31,1015808,perform,Latinate,30,17.1950,30
B,31,1015808,perhaps,Latinate,62,14.7743,30
B,31,1015808,permit,Latinate,13,19.8210,30
B,31,1015808,possess,Latinate,23,18.5007,30
B,31,1015808,previous,Latinate,50,16.6009,30
B,31,1015808,previously,Latinate,64,17.6186,30
B,31,1015808,prior,Latinate,51,16.3139,30
B,31,1015808,provide,Latinate,5,17.8871,30
B,31,1015808,purchase,Latinate,11,17.1916,30
B,31,1015808,rapid,Latinate,42,18.1431,30
B,31,1015808,receive,Latinate,6,17.1568,30
B,31,1015808,remain,Latinate,27,15.8648,30
B,31,1015808,remainder,Latinate,36,30.5131,30
B,31,1015808,repair,Latinate,22,17.2063,30
B,31,1015808,reply,Latinate,17,16.3197,30
B,31,1015808,request,Latinate,15,17.4084,30
B,31,1015808,require,Latinate,3,17.6968,30
B,31,1015808,residence,Latinate,33,18.6836,30
B,31,1015808,respond,Latinate,18,16.8833,30
B,31,1015808,rest,Germanic,36,13.0514,30
B,31,1015808,retain,Latinate,28,17.9753,30
B,31,1015808,safe,Germanic,58,12.7541,30
B,31,1015808,secure,Latinate,58,15.0137,30
B,31,1015808,see,Germanic,26,9.8771,30
B,31,1015808,select,Latinate,21,18.1639,30
B,31,1015808,shall,Latinate,67,12.5418,30
B,31,1015808,show,Germanic,10,11.8756,30
B,31,1015808,sick,Germanic,57,12.9979,30
B,31,1015808,sickness,Germanic,35,19.3294,30
B,31,1015808,so,Germanic,61,8.8423,30
B,31,1015808,sometimes,Germanic,65,13.6529,30
B,31,1015808,start,Germanic,25,13.2878,30
B,31,1015808,stay,Germanic,27,11.9233,30
B,31,1015808,strange,Latinate,55,14.1155,30
B,31,1015808,subsequent,Latinate,53,32.3018,30
B,31,1015808,sufficient,Latinate,44,18.4125,30
B,31,1015808,therefore,Latinate,61,15.2424,30
B,31,1015808,try,Germanic,7,12.0631,30
B,31,1015808,understand,Germanic,0,12.7991,30
B,31,1015808,want,Germanic,4,9.3720,30
B,31,1015808,whole,Germanic,45,12.2164,30
B,31,1015808,will,Germanic,67,9.4651,30
B,61,1998848,acquire,Latinate,1,33.0140,18
B,61,1998848,additional,Latinate,48,20.8847,30
B,61,1998848,allow,Latinate,14,15.0460,30
B,61,1998848,ancient,Latinate,49,14.4154,30
B,61,1998848,answer,Germanic,17,14.3865,30
B,61,1998848,ask,Germanic,15,12.1531,30
B,61,1998848,assist,Latinate,8,17.7609,30
B,61,1998848,assistance,Latinate,37,19.0033,30
B,61,1998848,attempt,Latinate,7,16.9570,30
B,61,1998848,baby,Germanic,31,12.3231,30
B,61,1998848,before,Germanic,64,11.4762,30
B,61,1998848,beverage,Latinate,32,36.0068,11
B,61,1998848,build,Germanic,9,13.7348,30
B,61,1998848,but,Germanic,60,8.1323,30
B,61,1998848,buy,Germanic,11,13.5021,30
B,61,1998848,choose,Germanic,21,14.2570,30
B,61,1998848,commence,Latinate,25,27.6087,14
B,61,1998848,comprehend,Latinate,0,47.1576,19
B,61,1998848,conceal,Latinate,19,27.6791,30
B,61,1998848,conclude,Latinate,24,33.3066,15
B,61,1998848,construct,Latinate,9,35.4189,18
B,61,1998848,currently,Latinate,66,15.8091,30
B,61,1998848,demonstrate,Latinate,10,29.5231,30
