arm,step,tokens_seen,word,klass,pair_id,surprisal_bits,n
C,31,1015808,acquire,Latinate,1,30.7974,18
C,31,1015808,additional,Latinate,48,17.7031,30
C,31,1015808,allow,Latinate,14,13.9762,30
C,31,1015808,ancient,Latinate,49,15.2872,30
C,31,1015808,answer,Germanic,17,13.4203,30
C,31,1015808,ask,Germanic,15,11.6707,30
C,31,1015808,assist,Latinate,8,16.7602,30
C,31,1015808,assistance,Latinate,37,17.4998,30
C,31,1015808,attempt,Latinate,7,14.8050,30
C,31,1015808,baby,Germanic,31,11.9395,30
C,31,1015808,before,Germanic,64,10.2947,30
C,31,1015808,beverage,Latinate,32,34.3311,11
C,31,1015808,build,Germanic,9,14.8608,30
C,31,1015808,but,Germanic,60,8.8920,30
C,31,1015808,buy,Germanic,11,13.6699,30
C,31,1015808,choose,Germanic,21,14.5136,30
C,31,1015808,commence,Latinate,25,28.6443,14
C,31,1015808,comprehend,Latinate,0,46.1024,19
C,31,1015808,conceal,Latinate,19,27.2338,30
C,31,1015808,conclude,Latinate,24,34.6026,15
C,31,1015808,construct,Latinate,9,29.3045,18
C,31,1015808,currently,Latinate,66,14.2347,30
C,31,1015808,demonstrate,Latinate,10,29.9546,30
C,31,1015808,depart,Latinate,12,16.0881,30
C,31,1015808,desire,Latinate,4,14.4629,30
C,31,1015808,difficult,Latinate,43,14.1966,30
C,31,1015808,discover,Latinate,20,14.8830,30
C,31,1015808,do,Germanic,30,9.9031,30
C,31,1015808,drink,Germanic,32,12.8166,30
C,31,1015808,earlier,Germanic,50,14.0787,30
C,31,1015808,end,Germanic,24,11.9385,30
C,31,1015808,enormous,Latinate,38,15.9192,30
C,31,1015808,enough,Germanic,44,12.7050,30
C,31,1015808,entire,Latinate,45,14.7767,30
C,31,1015808,error,Latinate,34,18.1482,30
C,31,1015808,fast,Germanic,42,13.3160,30
C,31,1015808,final,Latinate,59,14.4984,30
C,31,1015808,find,Germanic,20,11.8887,30
C,31,1015808,first,Germanic,52,11.2810,30
C,31,1015808,fortunate,Latinate,54,17.6851,30
C,31,1015808,frequently,Latinate,63,19.5501,30
C,31,1015808,get,Germanic,1,9.7943,30
C,31,1015808,gigantic,Latinate,39,31.1731,30
C,31,1015808,give,Germanic,5,11.9231,30
C,31,1015808,hard,Germanic,43,11.8677,30
C,31,1015808,have,Germanic,23,7.9389,30
C,31,1015808,help,Germanic,8,10.6740,30
C,31,1015808,hide,Germanic,19,14.7945,30
C,31,1015808,home,Germanic,33,10.9311,30
C,31,1015808,however,Latinate,60,14.0021,30
C,31,1015808,huge,Germanic,38,14.0204,30
C,31,1015808,ill,Latinate,57,14.5047,30
C,31,1015808,illness,Latinate,35,16.0261,30
C,31,1015808,immense,Latinate,40,16.8046,30
C,31,1015808,infant,Latinate,31,25.2593,30
C,31,1015808,initial,Latinate,52,16.5678,30
C,31,1015808,inquire,Latinate,16,29.4430,30
C,31,1015808,keep,Germanic,28,11.8445,30
C,31,1015808,last,Germanic,59,11.2433,30
C,31,1015808,leave,Germanic,12,11.4855,30
C,31,1015808,let,Germanic,13,11.3197,30
C,31,1015808,lucky,Germanic,54,14.9781,30
C,31,1015808,maintain,Latinate,29,17.8211,30
C,31,1015808,many,Germanic,46,10.8137,30
C,31,1015808,massive,Latinate,41,17.2005,30
C,31,1015808,maybe,Germanic,62,12.9400,30
C,31,1015808,mend,Germanic,22,22.8432,30
C,31,1015808,mistake,Germanic,34,14.3443,30
C,31,1015808,more,Germanic,48,9.3139,30
C,31,1015808,multiple,Latinate,47,16.6858,30
C,31,1015808,need,Germanic,3,10.7963,30
C,31,1015808,next,Germanic,53,11.7597,30
C,31,1015808,now,Germanic,66,10.1342,30
C,31,1015808,numerous,Latinate,46,16.9298,30
C,31,1015808,observe,Latinate,26,31.1891,30
C,31,1015808,obtain,Latinate,2,17.2850,30
C,31,1015808,occasionally,Latinate,65,15.9555,30
C,31,1015808,odd,Germanic,55,16.6945,30
C,31,1015808,often,Germanic,63,12.6412,30
C,31,1015808,old,Germanic,49,10.8684,30
C,31,1015808,peculiar,Latinate,56,17.1487,30
C,31,1015808,perform,Latinate,30,15.3695,30
C,31,1015808,perhaps,Latinate,62,13.4734,30
C,31,1015808,permit,Latinate,13,18.3405,30
C,31,1015808,possess,Latinate,23,16.3988,30
C,31,1015808,previous,Latinate,50,16.5912,30
C,31,1015808,previously,Latinate,64,15.7223,30
C,31,1015808,prior,Latinate,51,17.8555,30
C,31,1015808,provide,Latinate,5,16.2114,30
C,31,1015808,purchase,Latinate,11,18.7791,30
C,31,1015808,rapid,Latinate,42,17.5337,30
C,31,1015808,receive,Latinate,6,16.6760,30
C,31,1015808,remain,Latinate,27,13.9165,30
C,31,1015808,remainder,Latinate,36,30.2586,30
C,31,1015808,repair,Latinate,22,17.6960,30
C,31,1015808,reply,Latinate,17,16.1470,30
C,31,1015808,request,Latinate,15,14.5654,30
C,31,1015808,require,Latinate,3,14.8011,30
C,31,1015808,residence,Latinate,33,17.2357,30
C,31,1015808,respond,Latinate,18,15.4628,30
C,31,1015808,rest,Germanic,36,11.7424,30
C,31,1015808,retain,Latinate,28,17.7125,30
C,31,1015808,safe,Germanic,58,12.7191,30
C,31,1015808,secure,Latinate,58,14.9144,30
C,31,1015808,see,Germanic,26,10.5345,30
C,31,1015808,select,Latinate,21,18.3751,30
C,31,1015808,shall,Latinate,67,12.0010,30
C,31,1015808,show,Germanic,10,12.1473,30
C,31,1015808,sick,Germanic,57,14.6797,30
C,31,1015808,sickness,Germanic,35,17.1825,30
C,31,1015808,so,Germanic,61,8.6612,30
C,31,1015808,sometimes,Germanic,65,13.3217,30
C,31,1015808,start,Germanic,25,13.0422,30
C,31,1015808,stay,Germanic,27,11.7392,30
C,31,1015808,strange,Latinate,55,15.2909,30
C,31,1015808,subsequent,Latinate,53,30.3848,30
C,31,1015808,sufficient,Latinate,44,18.7887,30
C,31,1015808,therefore,Latinate,61,13.8433,30
C,31,1015808,try,Germanic,7,12.4309,30
C,31,1015808,understand,Germanic,0,12.3202,30
C,31,1015808,want,Germanic,4,10.1724,30
C,31,1015808,whole,Germanic,45,11.9400,30
C,31,1015808,will,Germanic,67,10.1287,30
C,61,1998848,acquire,Latinate,1,33.1409,18
C,61,1998848,additional,Latinate,48,17.7878,30
C,61,1998848,allow,Latinate,14,13.2553,30
C,61,1998848,ancient,Latinate,49,14.2867,30
C,61,1998848,answer,Germanic,17,13.4383,30
C,61,1998848,ask,Germanic,15,12.2900,30
C,61,1998848,assist,Latinate,8,16.1609,30
C,61,1998848,assistance,Latinate,37,17.4972,30
C,61,1998848,attempt,Latinate,7,14.2166,30
C,61,1998848,baby,Germanic,31,12.1746,30
C,61,1998848,before,Germanic,64,10.6100,30
C,61,1998848,beverage,Latinate,32,35.8459,11
C,61,1998848,build,Germanic,9,14.3689,30
C,61,1998848,but,Germanic,60,7.2506,30
C,61,1998848,buy,Germanic,11,13.4391,30
C,61,1998848,choose,Germanic,21,14.0630,30
C,61,1998848,commence,Latinate,25,27.3530,14
C,61,1998848,comprehend,Latinate,0,48.5515,19
C,61,1998848,conceal,Latinate,19,27.8905,30
