arm,step,tokens_seen,word,klass,pair_id,surprisal_bits,n
D,31,1015808,acquire,Latinate,1,33.1191,18
D,31,1015808,additional,Latinate,48,20.6705,30
D,31,1015808,allow,Latinate,14,15.4617,30
D,31,1015808,ancient,Latinate,49,14.8850,30
D,31,1015808,answer,Germanic,17,12.6905,30
D,31,1015808,ask,Germanic,15,11.5818,30
D,31,1015808,assist,Latinate,8,17.8621,30
D,31,1015808,assistance,Latinate,37,16.5882,30
D,31,1015808,attempt,Latinate,7,14.4909,30
D,31,1015808,baby,Germanic,31,12.2292,30
D,31,1015808,before,Germanic,64,10.4540,30
D,31,1015808,beverage,Latinate,32,36.0160,11
D,31,1015808,build,Germanic,9,14.6038,30
D,31,1015808,but,Germanic,60,8.8362,30
D,31,1015808,buy,Germanic,11,12.8075,30
D,31,1015808,choose,Germanic,21,16.0811,30
D,31,1015808,commence,Latinate,25,30.1151,14
D,31,1015808,comprehend,Latinate,0,44.3210,19
D,31,1015808,conceal,Latinate,19,27.7133,30
D,31,1015808,conclude,Latinate,24,35.4368,15
D,31,1015808,construct,Latinate,9,32.3298,18
D,31,1015808,currently,Latinate,66,14.1569,30
D,31,1015808,demonstrate,Latinate,10,29.6637,30
D,31,1015808,depart,Latinate,12,17.5249,30
D,31,1015808,desire,Latinate,4,16.2388,30
D,31,1015808,difficult,Latinate,43,14.3358,30
D,31,1015808,discover,Latinate,20,17.6024,30
D,31,1015808,do,Germanic,30,9.1926,30
D,31,1015808,drink,Germanic,32,13.9427,30
D,31,1015808,earlier,Germanic,50,14.6000,30
D,31,1015808,end,Germanic,24,11.8801,30
D,31,1015808,enormous,Latinate,38,17.7637,30
D,31,1015808,enough,Germanic,44,11.9383,30
D,31,1015808,entire,Latinate,45,15.7342,30
D,31,1015808,error,Latinate,34,19.2790,30
D,31,1015808,fast,Germanic,42,13.0651,30
D,31,1015808,final,Latinate,59,14.0289,30
D,31,1015808,find,Germanic,20,11.7697,30
D,31,1015808,first,Germanic,52,10.8825,30
D,31,1015808,fortunate,Latinate,54,18.8466,30
D,31,1015808,frequently,Latinate,63,18.9866,30
D,31,1015808,get,Germanic,1,8.9838,30
D,31,1015808,gigantic,Latinate,39,36.2466,30
D,31,1015808,give,Germanic,5,11.8240,30
D,31,1015808,hard,Germanic,43,11.4994,30
D,31,1015808,have,Germanic,23,7.9861,30
D,31,1015808,help,Germanic,8,10.8669,30
D,31,1015808,hide,Germanic,19,17.7484,30
D,31,1015808,home,Germanic,33,11.1248,30
D,31,1015808,however,Latinate,60,13.7778,30
D,31,1015808,huge,Germanic,38,15.8813,30
D,31,1015808,ill,Latinate,57,14.4702,30
D,31,1015808,illness,Latinate,35,15.4539,30
D,31,1015808,immense,Latinate,40,18.4110,30
D,31,1015808,infant,Latinate,31,28.0265,30
D,31,1015808,initial,Latinate,52,19.9509,30
D,31,1015808,inquire,Latinate,16,30.1641,30
D,31,1015808,keep,Germanic,28,12.2608,30
D,31,1015808,last,Germanic,59,11.2493,30
D,31,1015808,leave,Germanic,12,12.0454,30
D,31,1015808,let,Germanic,13,11.2341,30
D,31,1015808,lucky,Germanic,54,14.7962,30
D,31,1015808,maintain,Latinate,29,19.8223,30
D,31,1015808,many,Germanic,46,10.3636,30
D,31,1015808,massive,Latinate,41,18.0520,30
D,31,1015808,maybe,Germanic,62,11.8602,30
D,31,1015808,mend,Germanic,22,22.7067,30
D,31,1015808,mistake,Germanic,34,15.1979,30
D,31,1015808,more,Germanic,48,9.6623,30
D,31,1015808,multiple,Latinate,47,18.2435,30
D,31,1015808,need,Germanic,3,10.6631,30
D,31,1015808,next,Germanic,53,11.6675,30
D,31,1015808,now,Germanic,66,9.5039,30
D,31,1015808,numerous,Latinate,46,17.4221,30
D,31,1015808,observe,Latinate,26,32.7763,30
D,31,1015808,obtain,Latinate,2,16.6519,30
D,31,1015808,occasionally,Latinate,65,20.2141,30
D,31,1015808,odd,Germanic,55,16.1850,30
D,31,1015808,often,Germanic,63,12.3990,30
D,31,1015808,old,Germanic,49,10.7795,30
D,31,1015808,peculiar,Latinate,56,18.0349,30
D,31,1015808,perform,Latinate,30,15.9091,30
D,31,1015808,perhaps,Latinate,62,14.1159,30
D,31,1015808,permit,Latinate,13,17.1416,30
D,31,1015808,possess,Latinate,23,17.8312,30
D,31,1015808,previous,Latinate,50,15.5275,30
D,31,1015808,previously,Latinate,64,20.1023,30
D,31,1015808,prior,Latinate,51,17.3284,30
D,31,1015808,provide,Latinate,5,16.1356,30
D,31,1015808,purchase,Latinate,11,18.6904,30
D,31,1015808,rapid,Latinate,42,19.6606,30
D,31,1015808,receive,Latinate,6,15.7343,30
D,31,1015808,remain,Latinate,27,15.0170,30
D,31,1015808,remainder,Latinate,36,31.1911,30
D,31,1015808,repair,Latinate,22,17.1595,30
D,31,1015808,reply,Latinate,17,16.5985,30
D,31,1015808,request,Latinate,15,16.7436,30
D,31,1015808,require,Latinate,3,15.9852,30
D,31,1015808,residence,Latinate,33,18.4238,30
D,31,1015808,respond,Latinate,18,15.9225,30
D,31,1015808,rest,Germanic,36,13.2651,30
D,31,1015808,retain,Latinate,28,18.8179,30
D,31,1015808,safe,Germanic,58,13.7984,30
D,31,1015808,secure,Latinate,58,16.2692,30
D,31,1015808,see,Germanic,26,10.2942,30
D,31,1015808,select,Latinate,21,18.8541,30
D,31,1015808,shall,Latinate,67,12.0700,30
D,31,1015808,show,Germanic,10,11.7338,30
D,31,1015808,sick,Germanic,57,13.7885,30
D,31,1015808,sickness,Germanic,35,17.1318,30
D,31,1015808,so,Germanic,61,8.6806,30
D,31,1015808,sometimes,Germanic,65,13.4103,30
D,31,1015808,start,Germanic,25,12.2523,30
D,31,1015808,stay,Germanic,27,11.7521,30
D,31,1015808,strange,Latinate,55,16.5195,30
D,31,1015808,subsequent,Latinate,53,33.4550,30
D,31,1015808,sufficient,Latinate,44,20.3652,30
D,31,1015808,therefore,Latinate,61,14.5095,30
D,31,1015808,try,Germanic,7,11.7546,30
D,31,1015808,understand,Germanic,0,12.9723,30
D,31,1015808,want,Germanic,4,9.7514,30
D,31,1015808,whole,Germanic,45,11.9075,30
D,31,1015808,will,Germanic,67,9.0291,30
D,61,1998848,acquire,Latinate,1,30.6221,18
D,61,1998848,additional,Latinate,48,17.0386,30
D,61,1998848,allow,Latinate,14,14.1840,30
D,61,1998848,ancient,Latinate,49,15.8190,30
D,61,1998848,answer,Germanic,17,12.2071,30
D,61,1998848,ask,Germanic,15,12.5695,30
D,61,1998848,assist,Latinate,8,16.8087,30
D,61,1998848,assistance,Latinate,37,17.8786,30
D,61,1998848,attempt,Latinate,7,15.4589,30
D,61,1998848,baby,Germanic,31,12.9746,30
D,61,1998848,before,Germanic,64,10.0741,30
D,61,1998848,beverage,Latinate,32,34.6578,11
D,61,1998848,build,Germanic,9,14.1383,30
D,61,1998848,but,Germanic,60,8.2297,30
D,61,1998848,buy,Germanic,11,13.0573,30
D,61,1998848,choose,Germanic,21,14.7017,30
D,61,1998848,commence,Latinate,25,29.2285,14
D,61,1998848,comprehend,Latinate,0,46.5188,19
D,61,1998848,conceal,Latinate,19,26.9309,30
D,61,1998848,conclude,Latinate,24,34.0262,15
D,61,1998848,construct,Latinate,9,36.3371,18
D,61,1998848,currently,Latinate,66,14.0361,30
D,61,1998848,demonstrate,Latinate,10,31.7469,30
D,61,1998848,depart,Latinate,12,18.3904,30
D,61,1998848,desire,Latinate,4,16.6750,30
D,61,1998848,difficult,Latinate,43,14.6973,30
D,61,1998848,discover,Latinate,20,17.2579,30
D,61,1998848,do,Germanic,30,9.7825,30
D,61,1998848,drink,Germanic,32,14.1347,30
D,61,1998848,earlier,Germanic,50,16.0523,30
D,61,1998848,end,Germanic,24,11.2339,30
